id,revenue,main_genre,decade,is_top_genre,is_major_company
848091,200000,Drama,1920,True,False
234,8811,Drama,1920,True,False
848094,200,Drama,1920,True,False
31509,4500000,Drama,1920,True,False
563505,3000000,Drama,1920,True,False
10098,2500000,Comedy,1920,False,False
707496,901937,Romance,1920,False,False
35227,400200,Drama,1920,True,False
653,19054,Fantasy,1920,False,False
889971,142000,Adventure,1920,False,True
175518,500,Comedy,1920,False,False
22596,1500000,Comedy,1920,False,False
28963,1490419,Romance,1920,False,False
144613,495000,Drama,1920,True,True
40574,1550000,Comedy,1920,False,False
621357,245919,Drama,1920,True,True
1405,274827,Drama,1920,True,False
53824,497234,Drama,1920,True,False
27511,881000,Drama,1920,True,False
541105,674000,Western,1920,False,False
962,4000000,Adventure,1920,False,False
27505,704000,Crime,1920,False,False
673603,180300,Drama,1920,True,True
595119,130000,Comedy,1920,False,True
964,2000000,Drama,1920,True,True
664792,6500,Drama,1920,True,False
3060,20000000,Drama,1920,True,False
98477,323150,Drama,1920,True,False
141914,1500000,Drama,1920,True,False
89647,270000,Western,1920,False,True
643,45100,Drama,1920,True,False
31510,9000000,Adventure,1920,False,False
177219,938000,Adventure,1920,False,True
189621,1500000,Action,1920,False,True
73575,966878,Drama,1920,True,False
225112,1273000,Comedy,1920,False,True
111305,1250000,Action,1920,False,False
961,1000000,Comedy,1920,False,False
38687,658000,Drama,1920,True,False
19,650422,Drama,1920,True,False
42536,39448,Drama,1920,True,False
673588,380400,Drama,1920,True,False
200656,1125000,Comedy,1920,False,True
28966,3600000,Drama,1920,True,True
122331,1037000,History,1920,False,True
150198,100,Drama,1920,True,False
76804,325550,Horror,1920,False,True
171343,615000,Romance,1920,False,False
287262,6241682,Drama,1920,True,False
73969,1027757,Drama,1920,True,False
64852,1000000,Horror,1920,False,False
42538,7000000,Drama,1920,True,False
206581,931000,Drama,1920,True,False
939,2600000,Drama,1920,True,True
142159,596000,Adventure,1920,False,False
173689,1200000,Crime,1920,False,True
108923,551000,Adventure,1920,False,False
42614,1099000,Drama,1920,True,False
207143,5916000,Drama,1920,True,True
104430,2305000,Drama,1920,True,True
27506,921000,Drama,1920,True,False
464219,1454000,Drama,1920,True,True
65203,4358000,Music,1920,False,False
79761,3270000,Action,1920,False,False
262260,3022000,Music,1920,False,True
20625,1800000,Comedy,1920,False,True
198930,2266000,Music,1920,False,True
44670,3967000,Comedy,1920,False,True
109891,857000,Drama,1920,True,False
53760,2400000,Romance,1920,False,False
53528,3000000,Comedy,1920,False,False
166658,1432000,Drama,1930,True,False
262972,4000000,Action,1930,False,False
143,3270000,Drama,1930,True,True
271840,204000,Drama,1930,True,False
156320,1211000,Drama,1930,True,False
130816,400000,History,1930,False,False
22301,8000000,Drama,1930,True,False
5729,7940,Romance,1930,False,False
166307,11000000,Drama,1930,True,True
27899,752000,Drama,1930,True,False
42861,1383000,Drama,1930,True,False
901,4250000,Comedy,1930,False,False
84296,4200000,Action,1930,False,False
138,700000,Horror,1930,False,True
17687,557000,Crime,1930,False,True
84299,1100000,Romance,1930,False,False
42669,822000,Crime,1930,False,False
3035,12000000,Drama,1930,True,True
42816,1600000,Drama,1930,True,False
52239,1522000,Drama,1930,True,False
3019,1300000,Horror,1930,False,True
35545,2227000,Crime,1930,False,False
104221,1972000,Drama,1930,True,False
98398,732000,Drama,1930,True,False
877,600000,Crime,1930,False,False
33680,2594000,Drama,1930,True,False
150397,1362000,Drama,1930,True,False
92341,753000,Adventure,1930,False,False
13634,1108000,Drama,1930,True,True
38077,1223000,Romance,1930,False,False
272667,1514000,Drama,1930,True,False
130422,1237000,Drama,1930,True,False
56164,7630000,Drama,1930,True,False
43595,2200000,Comedy,1930,False,True
3062,2281000,Comedy,1930,False,True
244,10000000,Adventure,1930,False,False
99729,747000,Drama,1930,True,True
12206,27690,Crime,1930,False,False
31511,3200000,Comedy,1930,False,True
27449,451000,Drama,1930,True,True
140581,1800000,Drama,1930,True,False
34456,2850000,Comedy,1930,False,True
28432,2416000,Comedy,1930,False,True
39938,2100000,Drama,1930,True,False
43600,2400000,Comedy,1930,False,False
258832,522000,Comedy,1930,False,False
39130,2156000,Comedy,1930,False,False
31526,2610000,Drama,1930,True,False
1145206,378787,Fantasy,1930,False,False
53872,965000,Comedy,1930,False,False
3078,4500000,Comedy,1930,False,True
24106,236000,Horror,1930,False,True
3529,1423000,Comedy,1930,False,False
321730,183,Drama,1930,True,False
84097,2500000,Music,1930,False,True
43693,1258000,Drama,1930,True,False
75880,1300000,Drama,1930,True,True
28288,1800000,Comedy,1930,False,False
82096,1120000,Drama,1930,True,False
